"","DISCIPLINE","DISC_NAME","TOTTTD","AGE","MEAN_AGE","DEPENDS","MALE","MARITAL","CITIZ","MEAN_CITIZ","PHDCY","PHDMONTH","RACE","AMERIND","ASIAN","BLACK","HAWAIIAN","WHITE","HISPANIC","HISPORIG"
"122",1,"Life Sciences    ",23.5010266940453,60.16701,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"123",1,"Life Sciences    ",4.58590006844634,27.66804,34.62594,0,0,0,1,0.62,2004,12,5,2,2,1,2,2,2,NA
"124",1,"Life Sciences    ",6,29.41889,34.62594,0,0,1,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"125",1,"Life Sciences    ",13.1670088980152,36,34.62594,1,1,1,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"126",1,"Life Sciences    ",10.4188911704314,32,34.62594,1,0,1,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"127",1,"Life Sciences    ",12.6680355920603,35.82752,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"128",1,"Life Sciences    ",5.75290896646152,32.24914,34.62594,1,0,1,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"129",1,"Life Sciences    ",8.41889117043138,30.75291,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"130",1,"Life Sciences    ",9.33401779603014,30.41889,34.62594,0,0,0,1,0.62,2004,12,5,2,2,1,2,2,2,NA
"131",1,"Life Sciences    ",14.4140999315537,35.58111,34.62594,2,1,1,1,0.62,2005,5,8,2,2,2,2,1,1,2
"132",1,"Life Sciences    ",16.4140999315537,39.49624,34.62594,1,0,0,0,0.62,2005,5,9,NA,NA,NA,NA,NA,1,3
"133",1,"Life Sciences    ",8.91512662559899,31.58111,34.62594,1,0,1,0,0.62,2005,5,10,2,2,2,2,1,2,NA
"134",1,"Life Sciences    ",4,25.74812,34.62594,0,0,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"135",1,"Life Sciences    ",17.915126625599,36.16701,34.62594,2,0,0,0,0.62,2005,5,5,2,2,1,2,2,2,NA
"136",1,"Life Sciences    ",7,30.32649,34.62594,0,0,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"137",1,"Life Sciences    ",8.16700889801518,31.66324,34.62594,0,1,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"138",1,"Life Sciences    ",8.08213552361394,31.58111,34.62594,0,1,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"139",1,"Life Sciences    ",11.832991101985,33.32649,34.62594,0,1,0,0,0.62,2005,5,10,2,2,2,2,1,2,NA
"140",1,"Life Sciences    ",11.0821355236139,33.74812,34.62594,9,1,0,0,0.62,2005,5,3,2,1,2,2,2,2,NA
