AnketNo,Cinsiyet,Sinif,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53
647,K,8,2,2,4,1,2,4,3,4,4,3,2,4,3,3,3,4,4,4,4,2,3,4,2,3,4,2,2,3,4,2,2,4,4,3,3,4,4,4,4,3,2,3,4,2,3,2,3,3,2,4,3,4,3
648,K,8,2,2,4,1,4,1,2,4,2,1,1,4,4,2,4,4,4,4,4,1,3,4,1,4,4,3,1,4,4,2,1,4,4,4,4,4,2,4,2,4,4,2,4,4,1,2,4,4,2,3,1,4,4
649,K,8,2,1,2,3,3,1,4,4,2,2,1,4,3,4,4,4,4,4,4,1,4,4,1,2,4,2,4,4,4,2,1,2,4,1,4,4,2,4,3,4,4,1,4,2,4,2,4,4,4,2,1,4,4
650,K,8,1,4,4,1,3,1,2,3,4,4,1,1,2,2,4,2,4,1,4,1,2,4,4,4,2,3,1,4,4,3,3,4,4,2,4,4,2,4,4,1,3,1,4,3,3,4,2,4,4,2,1,4,2
651,K,8,3,2,4,3,3,1,2,2,2,4,4,4,2,3,2,4,4,4,4,4,2,4,2,4,2,2,1,3,4,4,2,4,4,4,2,4,3,4,2,4,4,4,4,3,1,1,4,4,4,4,4,2,2
652,K,8,2,4,4,1,4,1,4,4,4,1,4,2,4,2,2,4,4,4,4,2,4,4,2,4,4,2,4,3,4,2,1,2,4,1,4,2,2,4,2,1,4,4,4,4,2,4,4,2,4,4,1,4,2
653,K,8,1,2,4,2,2,1,2,3,2,4,2,2,1,1,2,2,1,1,2,1,1,2,1,4,2,4,1,1,4,4,2,2,4,2,4,2,2,2,4,1,4,4,4,2,1,2,1,4,4,4,2,4,1
654,K,6,2,1,4,1,3,1,4,4,3,4,3,1,4,1,1,4,3,1,3,1,4,1,1,4,3,1,1,4,4,4,3,4,1,4,4,1,1,4,1,4,1,1,4,4,1,4,3,4,3,1,3,4,1
655,K,6,1,1,4,3,4,4,3,4,4,4,1,4,4,3,4,4,4,4,4,1,4,4,1,4,3,1,2,1,2,3,1,3,3,2,3,4,1,4,3,1,2,1,2,3,2,3,2,4,3,4,3,4,3
656,E,6,3,1,4,2,4,3,1,4,2,4,1,3,4,2,1,3,4,2,4,2,1,1,4,3,2,4,1,2,4,3,2,2,3,4,2,4,2,4,2,3,1,1,4,2,1,4,2,1,4,1,2,4,3
657,E,6,1,1,4,1,4,4,4,4,2,3,4,4,4,1,1,4,4,4,4,3,1,1,4,4,4,4,4,1,4,2,3,4,4,1,4,4,1,1,4,4,1,4,4,1,4,3,4,1,4,4,1,1,4
658,E,6,3,4,3,3,4,4,4,4,2,4,1,2,4,3,4,2,4,4,4,1,4,4,1,4,4,4,1,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3
659,E,6,2,2,3,1,1,2,1,1,4,4,1,1,2,1,2,2,1,4,1,3,1,3,2,1,4,1,2,3,4,1,2,4,2,3,1,4,1,2,2,4,2,3,3,1,3,1,4,2,2,1,1,2,1
660,E,6,3,3,4,4,4,2,1,4,2,2,3,4,4,3,3,4,4,4,4,4,4,3,2,3,1,2,1,4,2,3,2,4,2,3,2,3,1,4,2,1,4,1,3,1,1,2,3,2,2,2,3,4,1
661,K,6,3,3,2,1,2,1,3,4,2,1,3,1,4,3,3,4,4,3,4,3,2,2,2,4,4,3,3,3,4,2,4,2,3,2,4,2,3,4,4,2,3,3,2,3,3,1,2,4,1,2,1,2,2
662,E,6,2,1,4,1,4,2,4,4,2,4,2,4,2,4,2,4,4,4,2,2,2,4,3,2,2,3,3,1,4,2,4,4,2,2,2,4,4,2,4,4,4,2,4,4,3,2,4,2,4,2,4,2,4
663,K,6,3,3,2,1,2,1,2,4,2,3,3,2,4,2,2,2,4,4,4,2,4,2,2,2,4,3,2,2,4,2,4,4,4,2,4,4,4,4,4,4,3,2,4,2,3,2,4,1,2,4,3,2,4
664,K,6,3,4,2,2,2,1,2,4,3,1,4,1,4,2,1,4,4,4,3,4,3,4,3,2,3,4,3,4,4,4,3,4,3,4,3,4,2,4,4,2,4,2,4,3,4,2,1,1,4,2,4,2,3
665,K,6,2,1,2,1,2,1,4,4,1,4,2,4,4,1,1,4,4,4,4,1,1,2,4,4,2,2,1,1,1,4,1,4,4,4,4,1,2,4,4,1,4,1,1,1,1,2,4,1,1,1,1,4,1
666,K,6,2,3,4,1,4,1,4,4,4,2,4,4,2,2,4,4,4,4,4,4,2,4,1,4,4,4,1,3,4,4,4,4,4,2,4,4,4,4,4,2,3,4,4,4,3,2,3,4,4,4,1,4,4
667,K,6,4,1,4,1,4,1,4,2,4,4,3,2,2,4,4,4,4,4,4,4,4,4,3,4,4,2,1,3,4,2,4,4,4,2,4,4,4,4,4,4,4,2,4,2,4,4,2,4,4,4,1,4,4
668,E,6,2,3,4,2,4,1,4,2,2,4,2,4,2,3,2,4,2,2,4,1,2,2,2,4,4,2,2,4,4,2,1,2,1,4,2,2,2,4,4,2,1,2,4,2,1,4,4,1,2,2,2,2,4
669,K,6,4,3,4,1,4,1,4,2,4,4,2,4,4,4,2,4,4,4,4,4,4,4,1,2,4,4,1,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,3,1,3,4,3,4,4
670,K,6,3,2,4,1,4,1,4,4,4,4,1,1,4,3,2,4,4,3,4,4,4,4,2,4,3,2,1,1,4,3,3,4,3,4,4,4,4,4,4,3,4,4,2,4,1,4,4,4,4,3,3,4,3
671,E,6,3,4,4,4,3,1,3,2,4,4,3,4,4,3,4,4,4,4,1,3,4,4,3,4,3,3,1,1,4,4,2,4,4,3,4,4,3,2,1,2,4,4,4,4,4,4,4,4,4,4,2,4,4
672,E,6,3,2,4,1,2,1,4,4,3,4,2,1,4,2,2,4,4,4,4,4,4,4,1,4,3,4,2,1,4,4,3,4,4,4,4,4,3,2,4,1,4,4,4,3,3,4,4,4,3,3,4,3,2
674,E,6,3,4,4,2,3,4,4,3,4,4,3,2,4,3,3,4,4,3,4,3,4,3,1,4,4,3,2,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,3,3,2,4,4,4,3,4,1,4,3
675,K,6,4,4,4,1,4,1,4,4,4,4,1,1,4,2,2,4,4,4,4,2,4,4,2,4,4,2,1,2,4,3,3,4,4,4,4,4,2,4,2,4,4,4,2,4,4,4,4,4,3,4,1,4,4
676,K,6,1,4,4,2,3,4,1,4,4,1,1,4,3,2,4,4,4,4,4,1,1,4,4,4,4,4,3,1,4,1,4,4,4,1,3,4,4,3,3,4,1,1,4,1,4,4,4,4,1,3,2,4,4
677,K,6,2,2,4,1,4,1,4,4,4,3,3,4,4,3,4,4,4,4,2,4,4,4,1,4,4,2,1,1,4,2,2,4,4,2,4,4,2,2,4,2,2,4,4,4,4,2,4,4,4,4,1,4,2
678,K,6,2,1,4,1,4,1,4,4,4,1,1,4,4,4,1,4,4,4,4,1,4,4,1,4,4,1,1,4,4,4,1,4,1,4,1,4,1,4,4,4,1,1,4,1,4,1,4,1,1,1,1,4,4
680,K,6,3,1,4,4,1,2,2,4,3,4,1,1,2,1,3,2,4,4,4,1,1,4,1,2,4,1,2,1,4,1,3,2,1,3,3,4,1,3,4,4,1,3,3,1,1,4,4,4,3,4,3,1,4
681,E,6,3,3,4,2,4,4,4,4,4,3,4,2,3,4,3,4,4,3,3,4,4,3,2,4,4,3,4,3,4,2,3,4,3,1,2,4,3,3,3,3,4,4,3,2,1,3,4,4,3,3,1,4,3
682,E,6,2,3,4,2,3,2,4,4,3,4,3,4,4,3,4,4,4,4,3,2,4,3,1,4,4,3,2,3,4,4,4,4,4,3,2,2,1,2,3,2,4,3,4,2,2,3,1,4,3,1,1,4,2
683,K,6,3,2,4,2,4,1,4,4,3,4,2,1,4,2,2,4,4,3,3,2,2,3,1,4,3,2,1,2,4,3,3,4,4,3,4,4,3,4,1,3,3,3,3,4,3,4,4,4,2,2,1,4,4
684,E,6,1,2,4,1,4,3,3,4,3,4,1,4,4,3,3,4,4,4,4,1,3,3,3,3,3,3,3,4,4,4,3,2,2,2,2,4,3,4,4,3,4,3,4,4,3,3,3,4,4,4,4,4,4
685,E,6,3,2,3,4,4,1,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,1,4,4,4,1,4,4,4,4,1,4,4,1,4,4,4,4,3,4,4,3,3,4,4,4,4,4
686,K,6,2,2,4,1,4,2,2,4,2,4,1,4,4,1,2,4,1,2,4,4,4,4,4,1,4,2,1,2,2,4,1,4,4,1,4,4,1,1,4,4,2,1,4,1,1,4,4,4,4,2,4,1,1
687,K,6,2,4,4,2,3,1,4,4,4,2,3,4,4,3,4,2,4,4,4,3,4,4,3,4,4,3,2,4,4,4,3,4,4,3,1,4,2,4,4,4,2,3,4,4,4,4,4,3,4,4,3,4,4
689,E,6,3,4,4,1,4,1,4,4,4,1,1,4,1,4,4,4,4,4,4,1,4,4,1,4,4,4,1,1,4,4,3,4,2,4,4,4,3,3,4,4,3,3,4,4,3,3,4,4,4,4,1,4,3
690,E,5,1,4,4,3,4,1,4,4,4,3,4,4,3,2,2,4,4,4,2,2,1,2,1,4,4,1,1,4,4,4,3,4,4,3,2,2,1,4,2,4,4,4,4,4,1,2,2,4,4,3,1,4,4
691,E,5,4,1,4,1,3,3,4,4,4,1,3,4,4,2,4,4,3,4,4,3,1,4,1,4,3,3,1,1,1,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4,4,1,4,4
692,E,5,3,2,3,4,2,3,4,2,3,4,4,4,1,2,4,4,4,4,4,3,3,2,1,4,4,2,2,3,2,4,2,3,4,3,1,2,4,3,1,2,4,3,2,1,4,2,3,1,2,4,3,2,4
694,E,5,1,2,4,1,2,4,1,4,1,1,1,3,4,1,2,4,1,1,4,4,1,4,1,4,4,4,1,1,1,1,1,4,4,1,4,1,4,1,4,4,4,1,1,4,1,2,1,1,4,1,4,4,4
695,E,5,3,4,4,3,1,1,4,4,3,3,2,3,1,3,1,4,1,2,3,1,4,4,4,4,2,4,3,3,1,4,1,1,2,1,4,2,1,4,1,2,3,2,1,1,4,2,4,4,3,1,2,3,1
696,E,5,1,1,4,3,1,1,4,4,3,4,2,4,4,3,2,4,4,4,3,4,3,4,4,4,3,4,2,4,4,4,4,4,2,2,2,1,1,4,4,2,2,3,4,2,4,4,3,3,2,2,4,4,4
697,E,5,2,4,4,2,2,1,4,4,2,4,1,1,4,2,4,4,2,1,2,2,4,1,2,4,4,2,4,2,2,4,3,2,4,1,3,1,3,3,2,3,4,2,1,3,2,3,4,2,2,4,2,4,4
699,E,5,4,2,2,3,2,4,4,2,3,2,2,3,2,1,1,2,2,2,2,3,2,2,4,2,2,2,1,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2
701,E,5,2,1,2,1,2,4,1,1,4,4,2,3,3,4,3,1,1,1,2,4,3,1,2,4,4,2,2,3,4,1,4,1,3,4,2,4,2,3,4,4,2,3,4,4,1,1,4,2,3,4,2,1,4
702,E,5,1,3,4,4,1,1,1,1,4,3,1,2,1,3,2,1,1,1,2,1,1,2,4,1,1,2,2,4,2,2,2,3,1,2,4,1,1,2,3,1,2,2,1,4,3,1,2,1,3,1,4,2,2
703,E,5,1,1,4,1,2,4,4,4,4,3,2,4,3,1,3,4,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,3,4,1,2,2,1,3,4,2,4,2,4,2,2,2,4,4,3,4,4,4,3
704,E,5,2,4,4,1,4,4,4,1,2,3,4,4,2,3,4,4,4,4,4,4,4,4,1,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,4,4,1,4,4
706,E,5,2,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,2,4,2,4,4,4,2,4,2,4,2,4,4,4,4,2,2,4,4,4,2,2,4,4,2,4,4,2,4,2,4,2,4
707,K,5,3,2,4,4,3,2,3,4,4,2,2,4,3,4,2,4,4,4,4,3,2,4,1,3,4,3,4,1,4,3,3,2,4,2,3,2,3,2,4,3,4,4,4,3,2,3,3,1,2,3,1,4,4
708,K,5,2,1,4,1,3,1,2,4,4,4,2,4,2,2,4,4,4,4,2,4,2,2,3,4,4,2,3,2,2,2,2,4,2,2,2,2,2,4,4,2,2,4,4,2,4,2,2,1,2,2,1,2,4
709,K,5,3,4,4,1,3,4,3,4,3,2,1,4,3,1,4,3,4,4,4,2,4,4,3,2,3,4,1,2,4,1,3,4,4,1,4,4,2,4,3,1,2,1,3,2,3,4,4,3,4,3,2,4,3
710,K,5,2,3,4,4,2,3,3,3,4,4,3,1,4,1,4,4,4,4,4,1,1,1,4,4,4,1,4,4,4,1,4,4,4,4,4,1,1,1,1,4,4,4,4,1,4,4,3,4,1,1,4,4,4
711,K,5,3,2,4,4,3,2,3,4,4,2,2,4,3,4,3,4,4,4,4,2,3,4,2,3,4,3,4,2,4,3,4,4,4,4,3,4,4,4,4,3,2,3,4,3,3,2,4,3,4,4,3,4,4
712,K,5,3,2,4,4,3,2,3,4,4,2,2,4,3,4,3,4,4,4,4,2,3,4,2,3,4,3,4,2,4,2,3,4,4,4,4,3,4,4,4,4,3,2,3,4,3,3,4,3,4,4,3,4,4
713,K,5,3,1,4,1,4,1,4,4,3,4,1,3,4,1,3,4,3,4,4,1,4,4,2,4,3,4,1,1,4,3,3,4,3,4,3,3,3,2,4,1,2,1,4,4,4,4,4,1,4,4,1,4,4
714,K,5,3,1,4,1,4,4,4,4,3,4,3,4,4,3,3,4,4,4,4,3,4,4,1,4,4,4,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,4,1,4,4
715,K,5,1,1,4,1,1,1,4,3,4,3,2,4,3,3,3,3,4,4,4,1,2,4,1,4,4,4,1,4,4,3,2,3,4,2,3,4,4,4,4,2,1,3,4,2,2,2,4,3,4,4,3,4,4
716,K,5,1,1,2,1,4,1,4,4,4,2,4,4,4,4,2,4,4,4,4,1,4,4,1,4,4,1,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,4,4,4
717,K,5,1,4,4,4,4,3,4,4,4,3,1,4,4,3,4,3,1,4,4,1,1,1,4,4,4,4,1,1,2,4,1,4,1,3,1,4,4,4,3,1,1,3,4,4,4,1,3,3,3,4,4,4,4
719,K,5,2,1,4,1,4,1,4,4,4,3,1,4,4,2,3,4,4,4,4,3,4,4,1,4,4,4,1,2,4,1,1,4,3,1,1,4,4,1,4,4,1,3,4,3,1,4,4,2,4,4,1,4,4
720,K,5,1,2,4,1,4,3,2,4,4,4,1,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,3,3,4,4
721,K,5,3,1,4,1,4,1,4,3,4,4,4,4,3,3,3,4,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,1,4,4,1,3,4,1,4,4
722,K,5,4,3,4,1,4,4,3,4,4,4,4,3,4,1,3,4,4,3,4,4,4,4,2,4,4,3,3,4,4,4,4,4,4,1,4,4,3,4,4,4,3,4,4,1,4,4,3,1,4,4,3,4,4
723,K,5,1,2,4,3,4,2,4,1,2,2,4,4,4,1,4,4,4,4,3,2,4,4,3,4,3,3,3,2,4,4,2,3,4,3,4,4,3,4,4,1,4,2,3,4,4,3,2,3,2,4,2,3,3
724,K,5,2,3,4,1,4,4,1,4,3,4,3,4,4,2,3,4,4,4,4,3,4,2,2,4,4,3,3,1,3,3,3,3,4,4,3,2,3,4,4,3,3,2,4,2,4,4,4,3,3,2,4,1,4
725,K,5,1,3,4,1,2,1,4,3,4,4,2,4,3,2,4,3,4,4,4,1,4,4,1,2,4,3,1,2,4,4,1,4,3,3,4,4,4,3,4,4,2,3,4,3,2,3,4,3,4,3,1,4,3
726,K,5,1,2,4,1,2,3,4,2,4,3,1,3,4,4,4,4,4,4,4,1,2,3,2,3,3,3,3,2,4,4,2,3,4,2,3,4,3,4,4,3,4,2,4,2,2,3,4,4,4,4,3,4,3
727,K,5,1,3,4,1,3,3,1,2,3,2,3,2,2,3,3,4,4,4,4,2,4,3,1,4,4,3,2,4,2,3,2,1,4,2,3,4,2,3,4,4,4,3,2,2,4,4,3,3,1,3,4,1,3
728,K,5,1,2,4,1,2,3,4,2,4,3,3,2,2,2,4,3,4,4,4,3,2,2,1,4,2,3,1,2,4,2,3,4,3,2,3,4,3,2,4,3,2,2,4,2,4,2,3,2,3,4,1,4,4
729,K,5,3,2,2,4,2,4,4,2,4,2,4,4,4,4,4,4,2,4,4,2,4,2,2,4,4,4,2,4,4,4,4,4,2,2,2,4,4,4,4,2,2,4,2,2,2,1,4,2,1,2,2,2,1
730,K,5,2,4,4,4,2,4,3,3,4,4,4,4,3,4,4,3,4,3,4,3,3,4,2,4,4,3,4,4,4,3,4,3,4,4,4,3,4,2,4,3,3,4,4,2,3,4,4,4,3,4,4,3,4
731,K,5,4,2,2,1,4,3,4,3,2,4,3,4,1,4,3,4,3,4,3,1,4,4,3,4,4,3,4,2,1,4,4,4,3,1,1,2,2,3,1,4,4,3,4,4,3,2,4,3,2,1,4,4,2
732,K,5,1,1,2,1,2,1,2,4,4,4,2,1,2,1,1,2,2,2,4,2,4,2,1,2,2,1,1,1,2,4,3,2,1,2,1,2,2,4,2,2,1,2,2,2,1,2,1,2,4,4,1,4,4
733,K,5,1,4,2,1,2,1,4,3,3,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,1,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4
734,K,5,3,3,4,1,3,1,3,1,4,3,3,4,4,2,3,4,4,4,3,3,4,2,3,4,4,3,2,1,4,4,3,4,3,1,2,1,4,4,3,4,3,4,3,4,4,3,2,1,3,4,3,4,3
735,E,5,2,2,2,1,4,1,4,4,2,2,1,2,4,1,1,4,2,4,4,2,2,4,2,4,4,2,1,4,2,2,1,2,4,2,3,4,2,1,1,3,4,3,1,4,3,2,2,1,2,3,3,2,2
736,E,5,1,2,2,1,2,4,4,2,2,4,1,3,3,3,3,4,4,4,4,2,3,1,1,4,4,2,1,4,2,2,1,2,4,2,3,4,2,1,1,3,4,3,1,4,3,2,2,1,2,3,3,2,2
737,E,5,4,4,4,4,3,3,4,3,4,4,4,3,4,4,3,4,2,1,2,3,1,4,4,4,4,4,1,3,2,4,3,4,1,2,3,2,2,3,2,3,2,4,4,4,1,1,1,3,2,4,1,3,4
738,E,5,3,2,4,1,4,1,4,4,3,4,2,4,4,1,1,4,4,4,4,2,3,2,3,4,4,4,4,4,4,3,3,4,3,2,4,2,3,2,4,3,2,4,4,4,1,1,4,4,2,4,4,4,2
739,E,5,1,3,3,1,2,1,2,1,3,2,3,2,1,4,4,2,1,2,3,1,2,3,2,1,1,2,2,3,4,3,2,3,3,2,2,3,3,3,2,2,4,3,4,3,3,2,1,1,2,3,3,4,1
740,E,5,1,4,4,1,4,4,4,4,2,1,1,4,4,4,1,4,4,4,4,4,4,4,2,4,4,4,1,1,4,4,4,4,1,2,4,4,4,4,2,4,4,4,4,4,4,1,4,1,4,1,1,4,4
741,E,5,2,1,4,1,4,4,3,4,3,1,1,4,4,3,3,4,4,4,4,2,3,4,4,3,4,3,1,4,4,3,4,4,4,3,4,4,1,4,4,3,2,4,4,3,4,3,4,4,3,3,1,4,4
742,E,5,1,3,2,2,1,4,4,2,2,4,2,3,4,2,3,4,3,1,2,3,3,2,1,4,4,2,1,3,4,2,3,1,3,2,4,1,2,2,3,1,3,4,2,3,1,4,2,3,1,4,2,3,4
743,E,5,2,1,4,4,2,2,4,4,1,4,4,1,3,3,2,4,4,4,3,3,1,1,2,4,4,2,1,1,1,2,3,2,1,3,1,1,1,1,1,2,2,3,2,2,2,4,2,3,2,2,3,3,2
744,E,5,1,1,4,3,2,2,3,2,2,4,3,3,2,2,1,2,4,4,4,3,4,3,3,4,4,3,1,4,3,1,2,4,2,2,2,2,1,2,4,2,1,3,3,1,1,2,1,2,1,2,1,4,4
745,E,5,1,3,4,3,1,3,2,4,2,1,1,3,2,4,1,2,3,1,1,2,4,3,2,1,4,1,2,1,3,2,3,1,4,2,1,3,2,3,1,3,1,2,1,3,1,4,4,3,2,4,2,4,3
746,E,5,1,3,4,1,2,3,4,4,3,4,2,4,1,4,1,4,4,3,4,1,4,4,4,3,4,2,1,3,4,1,3,2,4,4,1,2,1,1,4,3,1,2,1,1,3,4,4,1,1,4,4,3,3
747,E,5,2,4,4,1,2,2,3,3,4,1,1,4,3,1,2,4,4,4,4,1,2,1,4,1,2,1,2,4,4,1,2,4,1,1,1,4,1,1,1,1,1,2,1,2,4,3,3,2,4,2,2,4,2
748,E,5,1,4,4,1,4,1,4,4,2,4,2,2,4,2,4,4,4,2,4,4,4,4,1,4,4,4,1,2,4,4,2,2,4,4,4,2,2,4,4,2,2,4,2,2,2,4,4,1,1,1,1,2,4
749,E,5,1,2,2,1,4,1,3,4,4,2,3,4,2,4,3,4,2,4,2,3,2,4,3,4,4,1,3,1,4,3,2,3,1,4,4,2,4,2,3,3,4,2,2,3,1,2,3,2,1,4,2,4,4
750,E,5,1,1,3,1,3,3,4,4,3,1,1,1,4,2,3,4,3,4,4,4,1,4,4,4,2,4,1,4,4,2,3,4,2,4,2,4,2,2,4,3,1,4,4,2,2,4,4,4,2,4,4,4,3
751,E,5,1,2,1,2,3,1,2,3,1,2,1,2,1,2,1,3,1,2,1,3,1,2,4,1,1,2,1,4,2,1,2,1,4,3,1,3,1,4,3,1,2,4,3,4,4,2,1,4,2,4,1,2,2
752,E,5,3,1,2,2,1,2,1,2,2,1,1,2,3,4,3,4,4,4,4,4,1,4,3,4,4,3,1,4,3,4,3,2,2,3,4,3,3,2,1,2,3,4,3,2,1,2,2,1,4,3,2,3,2
753,E,5,1,2,3,1,2,1,4,2,4,1,1,4,2,1,4,2,4,4,4,1,2,4,2,3,4,2,1,3,4,2,1,4,4,2,1,4,2,1,4,1,4,2,4,1,4,2,4,4,2,4,1,2,3
754,E,5,2,1,2,3,4,4,1,4,2,3,3,1,4,1,1,3,1,3,4,3,1,2,1,4,4,2,3,1,3,4,2,3,1,3,1,3,1,4,4,3,2,4,2,1,1,4,4,4,1,2,3,4,4
755,E,5,2,3,4,1,3,1,4,4,4,4,1,2,4,3,4,4,4,4,4,2,4,2,2,4,3,3,1,4,4,3,3,3,4,2,4,4,3,3,3,4,2,3,4,3,2,4,4,4,2,3,2,3,4
756,E,5,2,4,4,3,3,3,1,2,4,2,3,2,3,4,1,2,3,4,2,1,2,4,3,4,1,3,1,4,3,2,2,4,3,1,2,4,3,2,4,1,2,4,3,1,2,4,2,3,2,3,2,4,4
758,E,5,3,3,4,1,2,4,1,2,4,2,1,2,2,1,3,2,1,1,4,1,4,1,2,2,4,2,2,3,1,4,1,2,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,4,1,1,1,2,2
759,E,5,2,1,4,1,3,1,2,4,3,2,4,4,4,1,2,4,4,4,4,4,1,4,4,4,1,2,2,4,4,1,1,3,1,4,4,4,4,4,4,4,1,2,4,2,1,1,4,4,4,4,1,4,3
760,E,5,3,3,4,2,4,1,4,4,4,4,4,1,4,4,4,4,4,3,4,4,3,3,1,4,3,3,4,4,1,2,3,4,4,3,4,4,3,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,1
761,E,5,1,4,1,2,3,1,1,4,2,1,1,4,4,4,3,4,4,2,4,3,4,4,4,4,4,4,3,3,2,2,4,1,4,2,4,2,1,3,4,4,1,4,1,4,1,3,4,2,4,4,3,4,4
762,E,5,1,4,4,1,3,4,4,3,1,4,3,1,3,1,3,4,4,4,4,2,3,4,4,4,3,2,1,4,4,1,3,1,4,2,3,4,3,4,1,4,4,4,3,4,1,4,3,4,4,1,1,4,1
763,E,5,4,4,4,1,4,4,4,4,4,3,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,4,4
764,E,5,4,1,4,1,4,1,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4
765,K,5,3,4,4,1,4,1,4,3,4,2,4,3,4,4,3,4,4,4,4,4,4,4,1,4,4,4,1,2,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,3,4,4,3,4,4,1,4,4
766,E,5,3,1,4,1,4,1,4,4,4,4,1,1,4,4,4,4,4,1,4,4,3,4,1,4,4,3,1,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,3,2,4,4,4,1,4,1,4,4
767,K,5,2,1,4,1,4,1,4,4,4,4,1,3,4,2,4,4,4,4,4,1,2,4,2,3,4,1,1,2,4,1,3,4,4,4,4,3,4,4,4,4,1,1,1,1,1,2,3,1,3,2,3,2,3
768,E,5,1,4,3,1,4,4,1,4,4,4,1,4,4,3,2,4,4,4,4,1,2,3,1,4,4,4,1,1,4,4,1,4,4,4,3,4,4,4,4,4,4,1,4,4,4,3,4,4,4,4,4,4,4
769,E,5,2,1,4,1,4,1,4,4,4,3,1,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,1,1,4,4,3,4,4,3,4,4,2,4,4,4,4,4,4,3,4,4,3,4,4,3,1,4,4
770,K,5,4,2,4,1,4,1,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,1,2,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,3,4,4,4,1,4,4,2,4,4
771,E,5,4,1,4,1,4,4,4,4,3,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,1,4,4,1,4,4
772,K,5,1,1,4,1,1,2,4,3,1,4,3,4,1,1,2,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,3,4,4,3,2,4,4,2,1,2,4,4,4,1,1,4,4,4,4,2,1,4,4
773,E,5,1,2,4,1,2,1,3,4,3,2,2,4,3,1,2,3,4,4,4,4,4,3,2,4,3,2,1,4,4,4,1,3,4,3,4,4,1,3,1,4,3,4,3,1,4,2,3,4,4,2,1,3,3
774,E,5,3,3,2,1,2,4,4,4,2,4,4,2,4,3,3,4,3,3,4,3,3,4,2,4,3,4,3,2,2,2,3,2,2,4,4,2,2,2,2,4,3,4,4,3,2,4,2,4,2,4,3,4,2
775,K,5,2,3,4,1,4,1,4,4,4,3,4,4,4,4,4,4,4,4,4,3,2,4,3,4,4,4,3,2,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,3,2,4,4,4,4,4,4,4,2
776,E,5,1,4,1,1,4,1,4,4,2,4,2,4,4,3,2,4,4,4,4,3,4,4,3,4,2,2,3,4,1,4,2,2,2,4,3,3,2,2,4,4,3,3,4,2,4,4,4,3,2,4,2,4,4
777,E,5,2,4,4,1,2,1,4,4,3,3,1,2,4,1,3,4,4,3,4,4,2,4,2,4,4,2,1,4,4,4,3,4,4,4,4,3,3,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
778,E,5,4,1,4,1,3,1,2,4,4,4,1,4,3,4,4,4,4,4,3,3,1,4,4,3,4,1,4,3,4,2,4,3,2,4,4,4,3,1,4,4,1,4,4,1,4,4,4,4,4,4,1,4,4
