AnketNo,Cinsiyet,Sinif,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53
1907,K,6,2,4,4,3,2,3,4,2,4,3,3,4,4,2,3,4,4,4,2,1,4,2,1,2,2,2,4,1,4,3,2,3,2,3,4,4,2,4,2,4,1,2,4,3,1,4,2,3,4,4,1,4,2
1908,K,6,3,4,4,1,4,1,1,2,4,2,1,4,2,3,4,4,4,4,4,1,3,4,4,2,3,2,3,1,4,3,3,4,4,3,4,4,3,4,3,4,2,1,4,2,4,3,4,3,4,2,3,3,2
1909,K,7,4,2,3,3,3,4,4,4,3,1,1,4,4,4,3,3,1,1,1,4,4,1,4,4,1,1,4,4,1,1,4,1,3,2,2,3,4,1,1,4,4,2,2,4,4,1,1,4,4,2,1,4,1
1910,K,6,2,4,4,1,1,1,4,4,2,4,2,4,4,1,2,4,2,3,4,4,1,4,1,4,3,3,1,1,4,4,1,4,4,1,4,4,1,4,4,1,1,4,1,1,4,4,2,1,4,1,1,2,2
1911,K,5,2,2,4,1,3,1,4,3,4,2,4,4,4,2,3,2,4,4,4,3,4,4,3,4,4,3,2,4,4,4,4,4,4,3,4,4,4,4,2,4,3,4,4,3,4,4,4,4,4,3,2,4,4
1912,K,5,3,4,4,1,4,1,3,2,4,2,4,4,3,3,3,4,4,4,4,3,4,4,1,4,4,3,1,1,4,2,4,4,4,4,4,4,3,4,3,4,2,4,4,4,3,4,4,4,4,4,2,4,4
1914,K,7,1,1,1,4,1,4,1,1,1,4,1,4,1,1,1,1,4,4,4,1,1,4,1,2,2,1,4,1,4,1,1,1,4,1,1,4,4,4,1,1,1,1,4,1,1,2,1,4,1,4,4,1,2
1915,K,7,2,2,4,1,2,1,4,2,3,3,2,4,2,2,3,4,4,4,4,4,4,4,3,4,3,3,2,3,4,4,2,4,4,2,2,4,4,4,2,2,4,4,4,2,3,2,4,4,4,4,3,4,4
1916,K,6,2,1,4,1,4,1,4,2,4,4,1,1,4,2,4,4,4,4,4,1,4,4,4,4,2,4,2,2,4,4,2,4,4,2,4,2,2,4,2,4,2,3,4,2,2,2,4,4,4,4,2,4,2
1917,K,6,3,1,1,1,4,1,2,2,4,2,4,1,4,4,4,2,2,4,2,4,2,4,1,4,4,4,1,1,4,4,4,4,2,2,4,2,2,4,4,2,2,4,2,2,1,1,1,4,4,4,1,4,3
1918,K,7,2,1,2,2,4,1,4,3,2,4,4,4,4,1,3,4,4,4,4,2,2,4,4,4,2,3,4,4,4,3,1,3,4,3,4,4,1,1,3,3,4,1,4,1,3,2,1,4,4,3,4,4,4
1919,K,7,2,2,4,1,2,1,4,4,2,4,2,4,4,2,2,4,4,4,2,4,4,4,2,4,2,2,1,2,4,2,2,2,4,4,4,4,2,1,2,2,2,4,4,2,2,4,2,2,4,3,2,2,4
1920,K,6,2,4,4,4,4,1,4,4,2,1,1,1,4,4,2,4,4,1,4,2,2,4,1,4,1,2,4,4,4,1,1,3,4,4,4,4,2,4,1,4,4,4,4,4,4,1,4,4,4,2,4,4,4
1921,K,6,2,1,4,2,1,2,3,4,3,1,1,4,2,3,3,4,4,4,4,2,2,3,4,4,4,3,4,4,4,3,1,2,4,4,4,3,3,4,3,4,4,3,4,2,3,4,1,4,2,2,4,3,2
1922,K,7,2,1,3,1,4,2,4,4,3,3,1,2,4,2,3,4,4,4,4,2,4,4,3,2,3,2,3,3,4,4,2,4,4,4,4,4,3,1,4,2,4,4,4,4,3,4,4,4,3,4,1,4,4
1924,K,7,3,3,4,4,4,1,4,4,4,4,3,4,4,2,2,4,4,4,4,4,4,4,1,4,4,4,2,2,4,3,3,4,4,3,4,4,4,3,3,4,4,4,4,3,2,4,4,4,3,3,3,4,4
1925,K,8,4,2,4,2,4,1,4,4,4,3,1,4,4,4,4,4,4,4,4,1,2,4,1,4,2,4,1,1,4,4,4,2,4,4,4,4,2,4,4,4,2,1,4,4,2,4,4,4,4,2,1,4,1
1927,K,6,1,1,3,2,2,1,3,4,4,4,1,4,3,2,3,4,4,4,4,3,1,4,4,4,2,2,2,4,4,1,2,4,4,3,4,4,2,2,1,4,2,4,3,2,1,3,4,4,2,2,1,3,1
1928,K,6,2,3,2,1,4,1,4,4,4,2,1,3,4,3,3,4,4,4,2,3,3,3,1,1,4,4,1,1,4,2,2,3,3,3,4,3,4,4,3,2,3,3,4,4,3,2,3,1,3,3,2,4,3
1929,K,6,2,4,4,4,4,1,1,3,4,1,4,4,1,3,4,1,4,1,3,1,1,2,4,1,1,4,1,3,2,3,4,1,3,2,1,4,1,2,3,4,1,1,3,1,2,3,1,3,4,1,2,3,1
1930,K,6,3,3,4,2,4,2,4,4,3,3,3,3,4,4,3,3,4,4,3,2,4,4,2,4,4,3,3,3,4,3,3,4,4,3,4,4,3,3,2,4,4,3,4,3,2,3,4,4,4,3,2,4,4
1931,K,7,3,4,4,1,4,1,4,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,1,4,4,4,4,2,4,4
1932,K,7,3,4,4,1,4,1,4,4,4,4,3,4,4,2,2,4,4,4,4,2,4,4,2,4,3,4,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,1,4,4
1933,K,6,1,1,3,2,2,4,2,3,2,2,3,2,2,1,2,2,4,4,4,4,2,2,4,2,2,3,2,4,4,2,2,2,2,1,4,4,3,2,2,1,2,4,3,2,2,1,2,2,4,3,3,3,2
1934,K,7,3,2,3,3,3,4,3,3,2,3,1,3,3,2,2,3,4,4,3,3,4,4,1,3,3,4,3,3,3,4,3,3,3,2,2,1,2,1,1,3,4,3,2,3,1,4,3,3,4,4,1,4,4
1935,K,7,2,3,4,2,4,4,3,4,3,4,1,4,4,3,3,4,3,3,4,2,3,3,2,4,3,3,2,4,3,2,3,2,4,4,3,2,3,4,4,2,4,4,3,2,3,3,2,3,2,2,2,3,3
1936,K,7,4,4,4,1,3,1,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,1,4,4,3,1,1,4,4,4,3,4,1,4,4,4,3,4,4,3,4,4,1,4,1,4,3,4,4,1,4,4
1937,K,5,2,4,4,2,4,2,4,4,4,2,1,4,3,4,4,4,4,4,4,4,1,4,4,4,3,4,4,4,4,1,4,1,4,1,3,4,3,1,1,4,1,1,4,1,1,4,3,4,4,2,1,4,1
1938,K,5,3,1,4,4,3,1,3,2,4,1,2,4,2,3,4,2,4,4,4,3,4,3,4,2,3,1,4,1,4,3,4,1,1,1,2,4,4,3,1,4,1,2,3,1,4,2,1,4,1,4,1,3,2
1939,K,7,2,1,2,3,1,1,2,3,4,2,1,2,4,3,2,3,2,1,3,4,3,2,1,3,4,3,2,3,4,3,2,1,1,1,2,3,3,3,4,3,2,2,1,4,3,2,1,2,3,4,2,1,4
1940,K,7,2,2,4,1,4,1,3,4,4,1,1,4,3,1,2,4,4,4,4,3,4,4,3,4,3,4,4,1,4,4,4,4,3,3,4,1,2,4,3,4,3,4,4,4,3,1,1,4,3,3,4,4,4
1941,K,7,4,4,4,1,3,1,2,4,4,2,1,3,3,4,4,1,4,4,4,4,3,4,1,4,4,3,4,1,4,4,4,3,4,4,4,4,4,4,3,4,2,4,4,2,4,4,4,3,4,3,1,4,3
1942,K,7,2,3,2,3,2,1,2,2,3,1,1,4,3,1,2,3,4,4,4,1,2,2,4,4,3,2,4,4,4,1,1,4,4,4,4,3,1,4,3,4,4,1,4,4,4,4,4,4,4,2,2,3,3
1943,K,7,4,4,3,1,3,1,4,4,3,3,3,2,3,1,3,4,4,4,4,1,4,4,4,4,4,3,4,1,4,4,3,4,4,4,4,4,3,2,4,4,1,4,4,3,4,2,4,4,4,4,1,4,1
1944,K,6,2,3,4,2,4,2,4,4,4,2,1,4,4,3,4,4,4,4,4,3,4,3,1,4,3,3,1,2,4,4,2,4,1,2,4,4,2,4,3,1,1,3,4,2,1,3,2,2,2,2,1,4,2
1945,K,6,3,3,4,1,4,1,4,4,4,2,1,4,4,3,4,4,4,4,3,4,4,4,3,4,4,3,2,4,4,1,4,4,4,2,4,4,2,3,3,2,3,4,4,3,4,4,3,4,4,4,1,3,4
1946,K,7,2,2,4,1,4,1,4,4,2,4,2,4,4,1,2,4,4,4,4,3,3,4,4,4,2,1,3,4,4,4,3,2,4,2,1,4,3,4,4,4,3,3,4,4,4,2,2,3,2,1,1,4,4
1947,K,7,2,1,2,4,2,1,2,3,4,2,4,4,2,2,4,4,4,1,3,1,2,1,2,2,2,1,1,3,4,1,2,2,2,2,4,4,1,1,4,1,2,4,2,1,1,4,2,3,2,1,1,4,4
1949,K,5,2,1,4,1,1,1,4,4,4,3,1,4,4,2,3,4,4,4,4,1,3,4,4,3,3,4,4,1,4,1,2,4,4,2,1,3,4,1,4,4,2,4,2,1,3,4,3,1,4,2,4,4,2
1950,K,5,2,1,4,2,3,4,2,4,4,2,2,4,4,3,4,4,4,4,4,2,3,4,4,4,3,4,4,1,4,4,3,4,4,4,3,4,4,2,4,3,4,2,4,3,1,3,4,3,3,2,4,4,4
1951,K,5,1,3,4,1,2,3,4,4,4,3,1,1,4,4,4,3,4,4,4,1,1,4,1,4,4,3,1,3,4,4,4,4,1,4,1,4,4,4,4,1,1,1,4,1,2,1,2,1,4,3,2,3,1
1952,K,5,3,2,3,4,4,3,4,3,1,1,2,3,3,4,1,2,2,3,1,1,3,3,1,4,1,2,4,4,3,2,1,2,2,3,4,3,2,2,2,1,2,3,4,3,2,3,2,1,2,3,2,1,4
1953,K,6,2,1,4,1,3,2,4,4,2,4,1,1,4,2,1,4,2,2,4,4,4,2,4,2,2,1,4,4,4,2,2,4,4,2,4,4,2,2,3,4,1,2,2,4,4,4,1,4,2,4,1,4,4
1954,K,6,3,4,4,1,4,1,4,4,4,4,1,4,4,3,4,4,4,4,4,3,1,4,3,4,4,4,3,2,4,4,4,4,4,2,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4
1955,K,8,2,2,4,2,1,1,3,4,4,3,1,3,2,4,4,3,4,4,4,2,4,4,4,4,4,2,2,3,4,1,2,4,4,2,4,4,2,4,1,2,4,2,4,1,3,2,2,4,4,2,2,4,4
1956,K,6,3,1,4,3,2,2,3,4,3,4,3,2,3,2,1,3,4,4,3,2,3,4,3,2,2,3,1,2,4,3,2,3,4,3,1,4,3,4,3,4,3,2,1,1,2,4,3,2,1,3,2,4,2
1957,K,8,3,1,3,1,4,1,4,4,4,4,1,4,4,4,4,4,4,4,4,2,4,4,1,4,4,1,1,4,4,4,1,1,4,4,4,4,4,4,2,3,4,2,4,4,4,4,2,4,4,4,1,4,4
1958,K,8,3,1,4,1,4,1,4,4,4,4,1,4,4,4,4,4,4,4,3,1,4,4,1,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4
1959,K,5,4,4,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4
1960,K,5,4,4,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4
1961,K,8,4,4,4,1,4,1,3,4,4,3,1,4,4,3,4,4,4,4,4,2,3,4,4,4,4,4,1,4,4,3,3,4,2,2,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,1,4,4
1962,K,6,3,1,4,1,2,4,3,3,3,4,2,3,4,3,3,4,4,4,4,3,4,4,4,4,3,2,2,3,4,3,2,4,3,4,2,4,3,4,3,2,4,3,3,2,3,4,2,4,3,4,3,4,3
