id,gen_att,eduNEW
64338018,1.6,High School (Lycee) (4 years)
64345023,2.2,Junior High/ Middle School (8 years)
64337019,2.6,Primary School (5 years)
64337012,1.8,Primary School (5 years)
64352008,2.6,Primary School (5 years)
64283026,1.2,Vocational High School (4 years)
64352024,2.2,Vocational High School (4 years)
64346019,1.2,Vocational High School (4 years)
64329018,1.8,Vocational High School (4 years)
64330001,2.4,Vocational High School (4 years)
64283011,2,High School (Lycee) (4 years)
64352013,1,High School (Lycee) (4 years)
64346030,1,High School (Lycee) (4 years)
64346034,2,High School (Lycee) (4 years)
64330030,2,High School (Lycee) (4 years)
64283016,2.2,Higher education of 2 years
64282007,1,Higher education of 2 years
64352039,1.8,Higher education of 2 years
64337020,2.8,Junior High/ Middle School (8 years)
64353027,1,Junior High/ Middle School (8 years)
64352011,1.8,Junior High/ Middle School (8 years)
64344015,1.4,Junior High/ Middle School (8 years)
64330003,2,Junior High/ Middle School (8 years)
64330027,1.8,Junior High/ Middle School (8 years)
64337044,2.4,Primary School (5 years)
64337025,2.2,Primary School (5 years)
64337006,2.2,Primary School (5 years)
64337029,2.4,Primary School (5 years)
64336047,2.2,Primary School (5 years)
64336045,2,Primary School (5 years)
64336028,2,Primary School (5 years)
64336034,2.2,Primary School (5 years)
64336016,2.6,Primary School (5 years)
64353033,2,Primary School (5 years)
64352001,1.4,Primary School (5 years)
64344024,2.6,Primary School (5 years)
64345002,2,Primary School (5 years)
64352030,1.25,University - Undergraduate degree
64336006,2,High School (Lycee) (4 years)
64283030,2,High School (Lycee) (4 years)
64353003,2.2,High School (Lycee) (4 years)
64346040,1,High School (Lycee) (4 years)
64282034,2,University - Undergraduate degree
64346008,1,University - Undergraduate degree
64336042,2.2,Vocational High School (4 years)
64283012,2,High School (Lycee) (4 years)
64330021,2.4,High School (Lycee) (4 years)
64336022,1,High School (Lycee) (4 years)
64283010,2,High School (Lycee) (4 years)
64282014,2.2,High School (Lycee) (4 years)
64353037,1.8,High School (Lycee) (4 years)
64353006,2.4,High School (Lycee) (4 years)
64346039,1.2,High School (Lycee) (4 years)
64329026,2.2,High School (Lycee) (4 years)
64356030,2.4,High School (Lycee) (4 years)
64354034,2.6,Higher education of 2 years
64344032,1,University - Undergraduate degree
64336039,2.2,Vocational High School (4 years)
64344040,2.8,Vocational High School (4 years)
64356039,2.2,Vocational High School (4 years)
64282003,2.2,High School (Lycee) (4 years)
64282020,1,University - Undergraduate degree
64356019,2.2,Vocational High School (4 years)
64337050,1,High School (Lycee) (4 years)
64337043,1.2,High School (Lycee) (4 years)
64337047,2.4,High School (Lycee) (4 years)
64336040,2,High School (Lycee) (4 years)
64336026,2,High School (Lycee) (4 years)
64282023,2.2,High School (Lycee) (4 years)
64282026,2,High School (Lycee) (4 years)
64282028,1,High School (Lycee) (4 years)
64282018,2,High School (Lycee) (4 years)
64352031,2.4,High School (Lycee) (4 years)
64352032,1.8,High School (Lycee) (4 years)
64352037,1.8,High School (Lycee) (4 years)
64346004,1,High School (Lycee) (4 years)
64329011,1,High School (Lycee) (4 years)
64344029,2.25,High School (Lycee) (4 years)
64354023,1.4,High School (Lycee) (4 years)
64329004,2,High School (Lycee) (4 years)
64354024,1,High School (Lycee) (4 years)
64330018,2,High School (Lycee) (4 years)
64330039,2.4,High School (Lycee) (4 years)
64338002,1,High School (Lycee) (4 years)
64345005,2.6,High School (Lycee) (4 years)
64337014,1.2,Higher education of 2 years
64336007,1.2,Higher education of 2 years
64283015,2.2,Higher education of 2 years
64283003,2.2,Higher education of 2 years
64283013,2.6,Higher education of 2 years
64282012,2.2,Higher education of 2 years
64346007,1.6,Higher education of 2 years
64346025,2.2,Higher education of 2 years
64346002,1.8,Higher education of 2 years
64354031,1.2,Higher education of 2 years
64354007,1.8,Higher education of 2 years
64354001,1.4,Higher education of 2 years
64329017,2,Higher education of 2 years
64344033,1.4,Higher education of 2 years
64344011,2.25,Higher education of 2 years
64337022,2.4,Junior High/ Middle School (8 years)
64337026,1.8,Junior High/ Middle School (8 years)
64336036,1.4,Junior High/ Middle School (8 years)
64353036,2.6,Junior High/ Middle School (8 years)
64353014,1.6,Junior High/ Middle School (8 years)
64352026,2.2,Junior High/ Middle School (8 years)
64343017,2.2,Junior High/ Middle School (8 years)
64352036,1,Junior High/ Middle School (8 years)
64354017,1,Junior High/ Middle School (8 years)
64354035,1,Junior High/ Middle School (8 years)
64354040,2,Junior High/ Middle School (8 years)
64330033,2.2,Junior High/ Middle School (8 years)
64356038,2.6,Junior High/ Middle School (8 years)
64337016,2.6,Primary School (5 years)
64337040,2,Primary School (5 years)
64337011,2,Primary School (5 years)
64337046,2.2,Primary School (5 years)
64337038,1.6,Primary School (5 years)
64337024,2.4,Primary School (5 years)
64337005,2.2,Primary School (5 years)
64337033,2,Primary School (5 years)
64336010,2.2,Primary School (5 years)
64336012,1,Primary School (5 years)
64336011,1.8,Primary School (5 years)
64336035,2.2,Primary School (5 years)
64336025,1.8,Primary School (5 years)
64336043,2.6,Primary School (5 years)
64283018,2.2,Primary School (5 years)
64343012,2,Primary School (5 years)
64352022,1.4,Primary School (5 years)
64353022,2,Primary School (5 years)
64329034,2.2,Primary School (5 years)
64354015,2,Primary School (5 years)
64338006,2.2,Primary School (5 years)
64338028,2.4,Primary School (5 years)
64338024,2.2,Primary School (5 years)
64338014,2.2,Primary School (5 years)
64338009,2.8,Primary School (5 years)
64345008,2,Primary School (5 years)
64345001,2.4,Primary School (5 years)
64282009,2,University - Undergraduate degree
64346005,1.8,University - Undergraduate degree
64329001,1.4,University - Undergraduate degree
64330006,2,University - Undergraduate degree
64337023,2.2,Vocational High School (4 years)
64337028,1.6,Vocational High School (4 years)
64337045,2,Vocational High School (4 years)
64336027,2.2,Vocational High School (4 years)
64352010,1.6,Vocational High School (4 years)
64352025,1.8,Vocational High School (4 years)
64352020,1.6,Vocational High School (4 years)
64346021,2.2,Vocational High School (4 years)
64354021,2,Vocational High School (4 years)
64330034,2.2,Vocational High School (4 years)
64338037,2.4,Vocational High School (4 years)
64338007,1,Vocational High School (4 years)
64337001,1,High School (Lycee) (4 years)
64336041,1,High School (Lycee) (4 years)
64346037,1,High School (Lycee) (4 years)
64346022,3.2,Higher education of 2 years
64336014,1.75,Junior High/ Middle School (8 years)
64336031,1.8,University - Undergraduate degree
64282031,2,Higher education of 2 years
64344031,1.6,Higher education of 2 years
