"","id","gen_att","eduNEW"
"5503","65984004",2.2,"Primary School (5 years)"
"5504","65984095",2.4,"Primary School (5 years)"
"5505","65984084",3.8,"Primary School (5 years)"
"5506","65984071",2.2,"Primary School (5 years)"
"5507","65984074",2,"Primary School (5 years)"
"5508","65984008",1.6,"Primary School (5 years)"
"5509","65984105",2.2,"Primary School (5 years)"
"5510","65984054",1.8,"Primary School (5 years)"
"5511","65984096",1.8,"Primary School (5 years)"
"5512","65984065",2,"Primary School (5 years)"
"5513","65984048",2.6,"Primary School (5 years)"
"5514","65984025",2.2,"Primary School (5 years)"
"5515","65984006",2.2,"Primary School (5 years)"
"5516","65984120",3,"Primary School (5 years)"
"5517","65984047",2,"Primary School (5 years)"
"5518","65984024",2.4,"Primary School (5 years)"
"5519","65984050",2.4,"Primary School (5 years)"
"5520","65984063",2,"Primary School (5 years)"
"5521","65984028",2.4,"Primary School (5 years)"
"5522","65984089",2,"Primary School (5 years)"
"5523","65984049",1.8,"Primary School (5 years)"
"5685","65986009",1,"University - Undergraduate degree"
"5686","68357032",1.2,"University - Undergraduate degree"
"5748","68302002",1.4,"Vocational High School (4 years)"
"5749","68302056",1,"Vocational High School (4 years)"
"5750","68302059",1,"Vocational High School (4 years)"
"5751","65987004",1.6,"Vocational High School (4 years)"
"5752","68302048",1.75,"Vocational High School (4 years)"
"5753","68304025",1,"Vocational High School (4 years)"
"5754","65984033",1.4,"Vocational High School (4 years)"
"5755","65984098",2.2,"Vocational High School (4 years)"
"5843","68301004",2.2,"High School (Lycee) (4 years)"
"5854","65987034",1.4,"University - Undergraduate degree"
